DA transient Peak Time (s),DA transient Amplitude (nM),DA transient onset time (s),DA transient Rise (s),DA transient Decay time (s),DA transient Area,DA transient Baseline,DA transient HalfWidth
-54.30,28.3314475862,-56,1.70,1.60,"78,063.97",-17.578,"1,587.15"
-53.60,31.1065324138,-54.7,1.10,1.60,"61,221.31",-6.348,"1,575.44"
-53.10,42.2068717241,-54.4,1.30,1.60,"66,906.73",-3.662,754.51
-52.90,36.1080806897,-54.4,1.50,1.60,"72,921.75",-4.456,"1,078.91"
-53.50,35.6204172414,-54.7,1.20,1.60,"68,286.13",-7.751,"1,671.30"
-10.80,26.5926475862,-11.4,0.6,1.60,"45,529.18",-24.963,792.77
-10.40,31.1674903448,-11.4,1.00,1.60,"72,262.57",-29.419,798.74
11.20,38.3035655172,10.5,0.70,0.20,"13,592.53",-17.517,146.85
19.70,28.0876158621,18.6,1.10,0.60,"20,495.61",-2.899,176.53
31.20,30.9846165517,30.8,0.40,1.60,"60,723.88",32.166,"1,580.89"
31.70,36.9614917241,30.7,1.00,1.60,"97,268.68",28.198,"2,085.99"
31.20,30.9846165517,30.8,0.40,1.60,"60,723.88",32.166,"1,580.89"
32.10,48.5504937931,30.7,1.40,1.60,"120,614.60",28.198,"2,071.98"
31.20,30.9846165517,30.8,0.40,1.60,"60,723.88",32.166,"1,580.89"
39.10,40.7738606897,37.2,1.90,0.60,"50,759.89",37.476,170.28
44.30,29.2767951724,44.2,0.1,0.6,"11,096.19",31.525,100.57
52.40,26.1049841379,52.2,0.2,1.10,"19,738.77",28.503,720.66
53.30,29.5516055172,52.2,1.10,0.2,"18,890.38",29.602,117.99
57.70,31.7161117241,57.5,0.20,1.60,"34,423.83",23.56,278.37
76.20,41.5363344828,75.9,0.30,0.2,"10,131.84",20.691,122.96
88.40,26.1969206897,88,0.40,0.9,"22,402.95",14.374,589.1
88.50,30.0392689655,88,0.50,0.8,"21,987.91",15.045,384.54
101.80,36.6267227586,100.7,1.10,0.2,"14,001.46",3.357,118.59
106.20,43.9456717241,105.2,1.00,0.7,"29,693.60",-1.953,151.3
112.30,26.9593944828,110.4,1.90,0.80,"31,304.93",1.099,754.84
115.90,25.2515731034,115.1,0.80,1.10,"27,566.53",-0.732,442.23
124.40,35.9252068966,124,0.40,0.2,"10,418.70",-5.432,298.45
126.60,35.3146282759,125.8,0.8,0.50,"23,156.74",-10.498,119.78
136.90,29.9783110345,136,0.9,0.20,"10,479.74",2.38,138.17
156.60,34.4302386207,154.9,1.70,0.2,"32,730.10",-14.709,645.58
161.10,27.5379951724,159.8,1.30,0.2,"18,658.45",-16.418,285.04
174.70,26.745542069,173.6,1.10,0.1,"20,224.00",-29.755,870.19
175.40,27.7208689655,175.3,0.10,1.60,"36,206.05",-33.325,340.96
177.00,30.4359951724,176.2,0.80,1.00,"30,538.94",-27.13,360.41
191.80,24.0923731034,191.1,0.7,1.60,"42,245.48",-26.337,233.4
199.10,25.6173206897,197.6,1.50,1.60,"54,849.24",-22.614,696.03
211.90,36.0161441379,211,0.9,0.20,"19,259.64",-10.254,355.81
218.70,42.5126606897,218.4,0.30,0.4,"13,485.72",-12.299,135.92
225.30,26.8364793103,223.6,1.70,0.8,"41,290.28",-27.13,561.38
232.40,32.7533958621,231.7,0.7,0.2,"11,776.73",-12.207,128.97
242.00,36.778617931,241.8,0.20,0.60,"16,644.29",-3.448,154.95
253.70,26.8065,252.8,0.90,0.1,"10,729.98",-9.552,119.52
261.50,26.1969206897,260.9,0.60,1.60,"38,363.65",-9.583,202.22
280.70,37.6939862069,280.1,0.60,0.30,"18,026.73",-11.475,514.26
285.40,40.0113868966,284.8,0.60,1.20,"39,431.76",-6.958,230.73
290.80,25.2205944828,289.9,0.9,0.8,"22,378.54",6.714,170.38
291.20,54.131642069,289.5,1.70,1.60,"99,795.53",-13.367,872.85
303.70,38.9131448276,303.4,0.3,0.5,"12,557.98",-6.348,215.46
313.20,38.0897131034,312.9,0.30,0.2,"10,931.40",-18.982,170.6
325.30,26.8984365517,324.6,0.7,0.3,"14,685.06",-16.785,133.51
329.10,32.7224172414,328.4,0.7,0.7,"22,216.80",-6.897,290.15
329.50,26.1049841379,328.4,1.10,0.40,"22,250.37",-6.531,186.99
333.10,27.4770372414,331.4,1.70,0.40,"29,724.12",-2.869,470.89
353.00,46.9036303448,351.9,1.10,0.7,"35,025.02",-2.38,148.89
357.20,50.5631048276,356.7,0.5,0.1,"11,459.35",2.747,102.76
379.30,32.05188,378.7,0.60,0.1,"10,165.41",-2.899,115.27
380.40,34.6740703448,379.5,0.90,1.60,"50,030.52",0.641,104.43
381.80,35.0408172414,381,0.8,0.20,"20,108.03",8.179,296.19
391.30,40.5300289655,389.9,1.40,0.2,"30,673.22",7.904,155.09
391.50,26.0750048276,390.2,1.30,0.2,"25,161.74",11.871,130.25
398.10,54.8021793103,397.6,0.5,0.2,"16,683.96",11.993,155.2
403.70,25.4034682759,403.6,0.1,1.20,"23,855.59",15.076,176.96
404.50,35.9861648276,403.9,0.6,0.20,"18,026.73",16.174,473.41
410.90,34.4612172414,410.2,0.70,0.3,"17,971.80",14.038,138.34
412.90,56.5409793103,412.2,0.70,0.2,"13,037.11",34.363,145.1
443.70,36.0471227586,442.5,1.20,0.60,"28,454.59",27.344,359.88
444.10,29.3677324138,443.6,0.50,0.10,"10,012.82",35.767,110.97
455.30,24.6719731034,453.6,1.70,1.60,"57,220.46",24.78,"1,105.18"
462.80,39.2189337931,461.4,1.40,0.3,"32,687.38",28.717,334.99
475.70,37.4191758621,474.4,1.30,0.4,"27,966.31",34.607,439.48
481.30,27.3551213793,479.6,1.70,1.60,"51,837.16",35.248,139.22
482.20,26.8984365517,482,0.2,0.4,"10,061.65",45.502,198.98
507.90,33.7287227586,507.8,0.1,0.5,"10,571.29",44.25,108.84
509.50,24.0004365517,509,0.50,0.8,"20,019.53",46.936,422.12
526.10,26.5316896552,524.9,1.20,1.20,"34,994.51",28.564,153.71
32.50,68.6476241379,30.5,2.00,1.60,"148,989.90",26.123,"2,121.35"
33.20,44.9819565517,31.5,1.70,1.60,"82,946.78",53.04,621.4
33.60,37.1753441379,31.8,1.80,1.60,"68,215.95",59.692,272.01
20.50,27.2941634483,20.2,0.30,0.60,"12,591.55",-0.031,100.84
212.60,32.3566696552,211,1.60,0.2,"23,129.27",-6.256,152.19
381.20,41.3534606897,380.5,0.7,0.2,"19,390.87",5.646,225.95
